,id,name,current_price,tag,tag_updated_at
160,23720, Frijoles colorados extra Miau (500 g / 1.1 lb) ,2.47,frijoles,2024-12-21 20:08:33
161,7353, Frijoles blancos Goya (397 g / 14 oz) ,2.46,frijoles,2024-12-21 20:08:33
162,20352, Frijoles negros (454 g / 1 lb) ,2.41,frijoles,2024-12-21 20:08:33
163,7244, Frijol negro (500 g / 1.10 lb) ,2.4,frijoles,2024-12-21 20:08:33
164,7229,Frijoles blancos pequeÃ±os Goya (397 g / 14 oz),2.33,frijoles,2024-12-21 20:08:33
165,7409, Frijoles colorados - porotos rojos - Pantera (454 g / 1 lb) ,2.33,frijoles,2024-12-21 20:08:33
166,18564,Frijoles negros Marcos (500 g / 1.10 lb),2.28,frijoles,2024-12-21 20:08:33
167,7218,Frijoles colorados Don JosÃ© (500 g / 1.1 lb),2.23,frijoles,2024-12-21 20:08:33
168,7247, Frijol mantequilla (454 g / 1 lb) ,2.21,frijoles,2024-12-21 20:08:33
169,7290, Frijol blanco (500 g / 1.10 lb) ,2.17,frijoles,2024-12-21 20:08:33
170,7232, Frijol blanco Iberia (340 g / 12 oz) ,2.16,frijoles,2024-12-21 20:08:33
171,23985,Frijol blanco Iberia (340 g / 12 oz),2.16,frijoles,2024-12-21 20:08:33
172,7348, Frijoles negros (500 g / 1.1 lb) ,2.13,frijoles,2024-12-21 20:08:33
173,7191, Frijoles colorados largos Iberia (340 g / 12 oz) ,2.11,frijoles,2024-12-21 20:08:33
174,23984,Frijoles colorados largos Iberia (340 g / 12 oz),2.11,frijoles,2024-12-21 20:08:33
175,7367, Alubias negritas - frijoles negros - PuÃ±ado (500 g / 1.1 lb) ,2.05,frijoles,2024-12-21 20:08:33
176,16461,Frijoles blanco Super Yu (500 g / 1.1 lb),2.05,frijoles,2024-12-21 20:08:33
177,7287,Alubia chica - Frijol blanco - El Fresno (1 kg / 2.2 lb),1.99,frijoles,2024-12-21 20:08:33
178,7307, Frijol pinto PuÃ±ado (500 g / 1.1 lb) ,1.99,frijoles,2024-12-21 20:08:33
179,7306, Frijoles negros PuÃ±ado (500 g / 1.1 lb) ,1.98,frijoles,2024-12-21 20:08:33
180,7341, Frijoles negros extra Miau (500 g / 1.1 lb) ,1.98,frijoles,2024-12-21 20:08:33
181,24279,Frijoles Negros Goya (14oz),1.98,frijoles,2024-12-21 20:08:33
182,43377,Frijoles negros enlatados Goya (439 g / 15.5 oz),1.92,frijoles,2024-12-21 20:08:33
183,7315, Frijoles negros La Cata (500 g / 1.1 lb) ,1.9,frijoles,2024-12-21 20:08:33
184,7271, Frijoles negros La Ardosa (500 g / 1.1 lb) ,1.85,frijoles,2024-12-21 20:08:33
185,7196, Frijoles pintos Iberia (340 g / 12 oz) ,1.82,frijoles,2024-12-21 20:08:33
186,16463,Frijoles colorados Don JosÃ© (500 g / 1.1 lb),1.75,frijoles,2024-12-21 20:08:33
187,23982, Frijoles colorados Don JosÃ© (500 g / 1.1 lb) ,1.75,frijoles,2024-12-21 20:08:33
188,7207, Frijoles negros Iberia (340 g / 12 oz) ,1.74,frijoles,2024-12-21 20:08:33
189,16945,Frijoles blancos -alubias blancas- La Cata (500 g / 1.1 lb),1.74,frijoles,2024-12-21 20:08:33
190,24534,Frijol negro deCancio Foods (500g),1.74,frijoles,2024-12-21 20:08:33
191,853, Frijoles negros enlatados Goya (439 g / 15.5 oz) ,1.7,frijoles,2024-12-21 20:08:33
192,853, Frijoles negros enlatados Goya (439 g / 15.5 oz) ,1.7,frijoles,2024-12-21 20:08:33
193,61323, Frijoles negros enlatados Goya (439 g / 15.5 oz) ,1.7,frijoles,2024-12-21 20:08:33
194,7186, Frijoles blancos -porotos alubias- Don JosÃ© (500 g / 1.1 lb) ,1.68,frijoles,2024-12-21 20:08:33
195,15700, Frijoles rojos Vima Foods (410 g / 14.5 oz) ,1.68,frijoles,2024-12-21 20:08:33
196,7195, Frijoles colorados cortos Iberia (340 g / 12 oz) ,1.64,frijoles,2024-12-21 20:08:33
197,15691, Frijoles pintos Vima Foods (410 g / 14.5 oz) ,1.64,frijoles,2024-12-21 20:08:33
198,7304, Frijol negro Pantera (454 g / 1 lb) ,1.62,frijoles,2024-12-21 20:08:33
199,3601,Arroz blanco de grano largo (4.54 kg / 10 lb),11.27,arroz,2024-12-21 20:08:33
200,3602,Arroz blanco de grano largo (2.27 kg / 5 lb),5.64,arroz,2024-12-21 20:08:33
201,3603,Arroz blanco tailandés Radhika Rice (5 kg / 11 lb),10.35,arroz,2024-12-21 20:08:33
202,3604,Arroz blanco tailandés Jasmine Rice (5 kg / 11 lb),13.17,arroz,2024-12-21 20:08:33
203,3606,Arroz Jasmine grano largo Iberia (907 g / 2 lb),3.58,arroz,2024-12-21 20:08:33
